PassengerId,Survived,Age,SibSp,Parch,Fare,Sex_1,Embarked_Q,Embarked_S,Pclass_2,Pclass_3,Title_Miss,Title_Mlle,Title_Mme,Title_Mr,Title_Mrs,Title_Ms,Title_Rare
1,0,-0.5654188991856517,1,0,-0.5021631365156053,1,0,1,0,1,0,0,0,1,0,0,0
3,1,-0.2581920767831734,0,0,-0.48857985158126094,0,0,1,0,1,1,0,0,0,0,0,0
4,1,0.43306827362240263,1,0,0.42049406976540915,0,0,1,0,0,0,0,0,0,1,0,0
5,0,0.43306827362240263,0,0,-0.48606442844527126,1,0,1,0,1,0,0,0,1,0,0,0
6,0,-0.10457866558193428,0,0,-0.47784805031387456,1,1,0,0,1,0,0,0,1,0,0,0
7,0,1.8923956800341744,0,0,0.39559138071911126,1,0,1,0,0,0,0,0,1,0,0,0
9,1,-0.18138537118255385,0,2,-0.4240179952036955,0,0,1,0,1,0,0,0,0,1,0,0
10,1,-1.1798725439906081,1,0,-0.042931390101259084,0,0,0,1,0,0,0,0,0,1,0,0
11,1,-1.9479395999968037,1,1,-0.3119971474347855,0,0,1,0,1,1,0,0,0,0,0,0
13,0,-0.7190323103868907,0,0,-0.48606442844527126,1,0,1,0,1,0,0,0,1,0,0,0
14,0,0.7402950960248809,1,5,-0.01869880977838891,1,0,1,0,1,0,0,0,1,0,0,0
15,0,-1.1798725439906081,0,0,-0.49000458724548557,0,0,1,0,1,1,0,0,0,0,0,0
18,1,-0.10457866558193428,0,0,-0.38645367226008,1,0,1,1,0,0,0,0,1,0,0,0
19,0,0.1258414512199244,1,0,-0.2858367468204928,0,0,1,0,1,0,0,0,0,1,0,0
20,1,-0.10457866558193428,0,0,-0.5026662211428031,0,0,0,0,1,0,0,0,0,1,0,0
21,0,0.43306827362240263,0,0,-0.12484966611715334,1,0,1,1,0,0,0,0,1,0,0,0
22,1,0.3562615680217831,0,0,-0.38645367226008,1,0,1,1,0,0,0,0,1,0,0,0
23,1,-1.1030658383899885,0,0,-0.4864829948551,0,1,0,0,1,1,0,0,0,0,0,0
24,1,-0.10457866558193428,0,0,0.06632249221806229,1,0,1,0,0,0,0,0,1,0,0,0
25,0,-1.6407127775943255,3,1,-0.22395733767514672,0,0,1,0,1,1,0,0,0,0,0,0
26,1,0.6634883904242613,1,5,-0.01643492895599818,0,0,1,0,1,0,0,0,0,1,0,0
27,0,-0.10457866558193428,0,0,-0.5026662211428031,1,0,0,0,1,0,0,0,1,0,0,0
29,1,-0.10457866558193428,0,0,-0.48950150261828757,0,1,0,0,1,1,0,0,0,0,0,0
30,0,-0.10457866558193428,0,0,-0.48916745442582815,1,0,1,0,1,0,0,0,1,0,0,0
31,0,0.8171018016255005,0,0,-0.09022134505786501,1,0,0,0,0,0,0,0,0,0,0,1
33,1,-0.10457866558193428,0,0,-0.4921014439716465,0,1,0,0,1,1,0,0,0,0,0,0
36,0,0.9707152128267396,1,0,0.3983583461687,1,0,1,0,0,0,0,0,1,0,0,0
37,1,-0.10457866558193428,0,0,-0.5025817029254339,1,0,0,0,1,0,0,0,1,0,0,0
38,0,-0.6422256047862712,0,0,-0.48606442844527126,1,0,1,0,1,0,0,0,1,0,0,0
39,0,-0.8726457215881299,2,0,-0.2858367468204928,0,0,1,0,1,1,0,0,0,0,0,0
40,1,-1.1798725439906081,1,0,-0.42183662026016516,0,0,0,0,1,1,0,0,0,0,0,0
41,0,0.8171018016255005,1,0,-0.45738860469498893,0,0,1,0,1,0,0,0,0,1,0,0
42,0,-0.18138537118255385,1,0,-0.2254665915567405,0,0,1,1,0,0,0,0,0,1,0,0
43,0,-0.10457866558193428,0,0,-0.48916745442582815,1,0,0,0,1,0,0,0,1,0,0,0
44,1,-2.0247463055974233,1,2,0.18865657484452994,0,0,0,1,0,1,0,0,0,0,0,0
45,1,-0.7958390159875103,0,0,-0.48950150261828757,0,1,0,0,1,1,0,0,0,0,0,0
46,0,-0.10457866558193428,0,0,-0.48606442844527126,1,0,1,0,1,0,0,0,1,0,0,0
47,0,-0.10457866558193428,1,0,-0.3361452095402864,1,1,0,0,1,0,0,0,1,0,0,0
48,1,-0.10457866558193428,0,0,-0.4921014439716465,0,1,0,0,1,1,0,0,0,0,0,0
49,0,-0.10457866558193428,2,0,-0.21179878840502697,1,0,0,0,1,0,0,0,1,0,0,0
50,0,-0.8726457215881299,1,0,-0.2898614238380763,0,0,1,0,1,0,0,0,0,1,0,0
51,0,-1.717519483194945,4,1,0.15058916727371655,1,0,1,0,1,0,0,0,0,0,0,0
52,0,-0.6422256047862712,0,0,-0.4910952747172506,1,0,1,0,1,0,0,0,1,0,0,0
54,1,-0.027771959981314716,1,0,-0.12484966611715334,0,0,1,1,0,0,0,0,0,1,0,0
56,1,-0.10457866558193428,0,0,0.06632249221806229,1,0,1,0,0,0,0,0,1,0,0,0
57,1,-0.6422256047862712,0,0,-0.4367621349798736,0,0,1,1,0,1,0,0,0,0,0,0
58,0,-0.0661753127816245,0,0,-0.5025817029254339,1,0,0,0,1,0,0,0,1,0,0,0
59,1,-1.8711328943961842,1,2,-0.08963374221329784,0,0,1,1,0,1,0,0,0,0,0,0
60,0,-1.4102926607924668,5,2,0.295729082220321,1,0,1,0,1,0,0,0,0,0,0,0
61,0,-0.5654188991856517,0,0,-0.5025817029254339,1,0,0,0,1,0,0,0,1,0,0,0
64,0,-1.9479395999968037,3,2,-0.08661523445011025,1,0,1,0,1,0,0,0,0,0,0,0
65,0,-0.10457866558193428,0,0,-0.09022134505786501,1,0,0,0,0,0,0,0,1,0,0,0
66,1,-0.10457866558193428,1,1,-0.34126057402963506,1,0,0,0,1,0,0,0,0,0,0,0
67,1,-0.027771959981314716,0,0,-0.4367621349798736,0,0,1,1,0,0,0,0,0,1,0,0
68,0,-0.7958390159875103,0,0,-0.4838850658402498,1,0,1,0,1,0,0,0,1,0,0,0
69,1,-0.9494524271887494,4,2,-0.48857985158126094,0,0,1,0,1,1,0,0,0,0,0,0
70,0,-0.2581920767831734,2,0,-0.47373885507892183,1,0,1,0,1,0,0,0,1,0,0,0
71,0,0.20264815682054396,0,0,-0.4367621349798736,1,0,1,1,0,0,0,0,1,0,0,0
72,0,-1.026259132789369,5,2,0.295729082220321,0,0,1,0,1,1,0,0,0,0,0,0
74,0,-0.2581920767831734,1,0,-0.35719024566523044,1,0,0,0,1,0,0,0,1,0,0,0
75,1,0.20264815682054396,0,0,0.4888290608469592,1,0,1,0,1,0,0,0,1,0,0,0
76,0,-0.33499878238379294,0,0,-0.4941137824804383,1,0,1,0,1,0,0,0,1,0,0,0
77,0,-0.10457866558193428,0,0,-0.48916745442582815,1,0,1,0,1,0,0,0,1,0,0,0
78,0,-0.10457866558193428,0,0,-0.48606442844527126,1,0,1,0,1,0,0,0,1,0,0,0
80,1,0.04903474561930485,0,0,-0.3970184494312366,0,0,1,0,1,1,0,0,0,0,0,0
81,0,-0.5654188991856517,0,0,-0.4669472126117497,1,0,1,0,1,0,0,0,1,0,0,0
82,1,-0.027771959981314716,0,0,-0.456885520067791,1,0,1,0,1,0,0,0,1,0,0,0
83,1,-0.10457866558193428,0,0,-0.4913468170308496,0,1,0,0,1,1,0,0,0,0,0,0
84,0,-0.10457866558193428,0,0,0.29975375923790454,1,0,1,0,0,0,0,0,1,0,0,0
85,1,-0.9494524271887494,0,0,-0.4367621349798736,0,0,1,1,0,1,0,0,0,0,0,0
86,1,0.2794548624211635,3,0,-0.3291020247595153,0,0,1,0,1,0,0,0,0,1,0,0
87,0,-1.026259132789369,1,3,0.04368368399415517,1,0,1,0,1,0,0,0,1,0,0,0
88,0,-0.10457866558193428,0,0,-0.48606442844527126,1,0,1,0,1,0,0,0,1,0,0,0
90,0,-0.4118054879844125,0,0,-0.48606442844527126,1,0,1,0,1,0,0,0,1,0,0,0
91,0,-0.027771959981314716,0,0,-0.48606442844527126,1,0,1,0,1,0,0,0,1,0,0,0
92,0,-0.7190323103868907,0,0,-0.49000458724548557,1,0,1,0,1,0,0,0,1,0,0,0
93,0,1.277942035229218,1,0,0.5829904043503423,1,0,1,0,0,0,0,0,1,0,0,0
94,0,-0.2581920767831734,1,2,-0.23401903021910545,1,0,1,0,1,0,0,0,1,0,0,0
96,0,-0.10457866558193428,0,0,-0.48606442844527126,1,0,1,0,1,0,0,0,1,0,0,0
99,1,0.3562615680217831,0,1,-0.18521982138090565,0,0,1,1,0,0,0,0,0,1,0,0
100,0,0.3562615680217831,1,0,-0.12484966611715334,1,0,1,1,0,0,0,0,1,0,0,0
101,0,-0.10457866558193428,0,0,-0.48916745442582815,0,0,1,0,1,1,0,0,0,0,0,0
102,0,-0.10457866558193428,0,0,-0.48916745442582815,1,0,1,0,1,0,0,0,1,0,0,0
104,0,0.2794548624211635,0,0,-0.4739058791751516,1,0,1,0,1,0,0,0,1,0,0,0
105,0,0.5866816848236418,2,0,-0.48857985158126094,1,0,1,0,1,0,0,0,1,0,0,0
